product_id,product,description,brand,sku,category,subcategory,price,discount_percentage,discounted_price,rating,stock,warranty_information,shipping_information,availability_status,return_policy,min_order_quantity,thumbnail
1,Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,Essence,BEA-ESS-ESS-001,Beauty,Mascara,9.99,10.48,8.94,2.56,99,1 week,3-5 business days,In Stock,No return,48,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp
2,Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",Glamour Beauty,BEA-GLA-EYE-002,Beauty,Eyeshadow,19.99,18.19,16.35,2.86,34,1 year,2 weeks,In Stock,7 days,20,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp
3,Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",Velvet Touch,BEA-VEL-POW-003,Beauty,Face Powder,14.99,9.84,13.51,4.64,89,3 months,1-2 business days,In Stock,No return,22,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp
4,Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",Chic Cosmetics,BEA-CHI-LIP-004,Beauty,Lipstick,12.99,12.16,11.41,4.36,91,3 year,1 week,In Stock,7 days,40,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp
5,Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",Nail Couture,BEA-NAI-NAI-005,Beauty,Nail Polish,8.99,11.44,7.96,4.32,79,1 month,overnight,In Stock,No return,22,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp
6,Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",Calvin Klein,FRA-CAL-CAL-006,Fragrances,Perfumes,49.99,1.89,49.05,4.37,29,1 week,overnight,In Stock,90 days,9,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp
7,Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",Chanel,FRA-CHA-CHA-007,Fragrances,Perfumes,129.99,16.51,108.53,4.26,58,3 year,overnight,In Stock,No return,1,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp
8,Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",Dior,FRA-DIO-DIO-008,Fragrances,Perfumes,89.99,14.72,76.74,3.8,98,1 week,2 weeks,In Stock,7 days,10,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp
9,Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",Dolce & Gabbana,FRA-DOL-DOL-009,Fragrances,Perfumes,69.99,0.62,69.56,3.96,4,3 year,1 month,Low Stock,7 days,2,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp
10,Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",Gucci,FRA-GUC-GUC-010,Fragrances,Perfumes,79.99,14.39,68.48,2.74,91,6 months,overnight,In Stock,No return,2,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp
11,Annibale Colombo Bed,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",Annibale Colombo,FUR-ANN-ANN-011,Furniture,Beds,1899.99,8.57,1737.16,4.77,88,1 year,1 month,In Stock,No return,1,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp
12,Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",Annibale Colombo,FUR-ANN-ANN-012,Furniture,Sofas,2499.99,14.4,2139.99,3.92,60,Lifetime,1 week,In Stock,7 days,1,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp
13,Bedside Table African Cherry,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",Furniture Co.,FUR-FUR-BED-013,Furniture,Bedside Tables,299.99,19.09,242.72,2.87,64,5 year,overnight,In Stock,7 days,3,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp
14,Knoll Saarinen Executive Conference Chair,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",Knoll,FUR-KNO-KNO-014,Furniture,Office Chairs,499.99,2.01,489.94,4.88,26,2 year,overnight,In Stock,60 days,5,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp
15,Wooden Bathroom Sink With Mirror,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",Bath Trends,FUR-BAT-WOO-015,Furniture,Bathroom,799.99,8.8,729.59,3.59,7,3 year,3-5 business days,Low Stock,60 days,2,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp
16,Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",NULL,GRO-BRD-APP-016,Groceries,Fruits,1.99,12.62,1.74,4.19,8,3 year,2 weeks,In Stock,90 days,7,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp
17,Beef Steak,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",NULL,GRO-BRD-BEE-017,Groceries,Meat,12.99,9.61,11.74,4.47,86,3 year,overnight,In Stock,60 days,43,https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp
18,Cat Food,Nutritious cat food formulated to meet the dietary needs of your feline friend.,NULL,GRO-BRD-FOO-018,Groceries,Cat Food,8.99,9.58,8.13,3.13,46,1 year,overnight,In Stock,No return,18,https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp
19,Chicken Meat,"Fresh and tender chicken meat, suitable for various culinary preparations.",NULL,GRO-BRD-CHI-019,Groceries,Meat,9.99,13.7,8.62,3.19,97,1 year,1 month,In Stock,7 days,22,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp
20,Cooking Oil,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",NULL,GRO-BRD-COO-020,Groceries,Cooking Essentials,4.99,9.33,4.52,4.8,10,Lifetime,1-2 business days,In Stock,30 days,46,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp
21,Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",NULL,GRO-BRD-CUC-021,Groceries,Vegetables,1.49,0.16,1.49,4.07,84,2 year,1-2 business days,In Stock,7 days,2,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp
22,Dog Food,Specially formulated dog food designed to provide essential nutrients for your canine companion.,NULL,GRO-BRD-FOO-022,Groceries,Dog Food,10.99,10.27,9.86,4.55,71,No,1-2 business days,In Stock,60 days,43,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp
23,Eggs,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",NULL,GRO-BRD-EGG-023,Groceries,Dairy,2.99,11.05,2.66,2.53,9,1 week,1 week,In Stock,No return,32,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp
24,Fish Steak,"Quality fish steak, suitable for grilling, baking, or pan-searing.",NULL,GRO-BRD-FIS-024,Groceries,Seafood,14.99,4.23,14.36,3.78,74,1 month,3-5 business days,In Stock,60 days,50,https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp
25,Green Bell Pepper,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",NULL,GRO-BRD-GRE-025,Groceries,Vegetables,1.29,0.16,1.29,3.25,33,1 month,1 week,In Stock,30 days,12,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp
26,Green Chili Pepper,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",NULL,GRO-BRD-GRE-026,Groceries,Vegetables,0.99,1,0.98,3.66,3,2 year,1 week,Low Stock,30 days,39,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp
